y	x	lower_error	upper_error	champ
45	0.5060532687651331	0.07894589204397334	0.07906015282797996	Taliyah
46	0.5077771531068455	0.008532501563529249	0.008479887623651039	Draven
47	0.5079281347938064	0.009166754871425098	0.00914876767624262	Tristana
48	0.5098197329153227	0.0045155434329180455	0.0045150116657055595	Jinx
49	0.5103849546191709	0.006208250437706453	0.006195468717660635	MissFortune
50	0.5106382978723404	0.11541341745161593	0.11322611224916834	Olaf
51	0.511405678108616	0.007313639268991867	0.007313122719689424	Xayah
52	0.5137614678899083	0.07722116287040837	0.07551254039151134	Irelia
53	0.5139309127584468	0.013100605175280222	0.012960964698951472	Senna
54	0.5147679324894515	0.09894075828138355	0.10060662208781401	Chogath
55	0.5151935113766741	0.005545954848075074	0.005536736836892153	Ashe
56	0.5158310237675316	0.015132732372336699	0.01494727678658192	Yasuo
57	0.5165333571651995	0.007782910124901288	0.007754255591274184	Samira
58	0.51667385367256	0.013911743164147894	0.013911481535842984	Ziggs
59	0.5169996031221061	0.013410738089984053	0.013281091108999221	Swain
60	0.5172881355932203	0.042526058778748155	0.042346392425725576	Viktor
61	0.5176470588235295	0.06668006298908569	0.06620693345367867	Yone
62	0.5186625194401244	0.045137960417676815	0.04524467214509387	Heimerdinger
63	0.5192063088272704	0.015238249139491677	0.014983595647490522	Nilah
64	0.52	0.12133033875507954	0.11863902943580973	Annie
65	0.5207601735178682	0.023513665753126134	0.023428707813595517	Seraphine
66	0.5216316440049443	0.0403152770872372	0.04031670492342532	Syndra
67	0.5226536188600115	0.013172733912642842	0.012932905590663735	KogMaw
68	0.5233160621761658	0.05837339262002794	0.058244569902337395	Zyra
69	0.5238095238095238	0.19417496506137844	0.18708667560599868	Pantheon
70	0.5285938112025068	0.023008404845675456	0.022664271266796154	Lux
71	0.5297403877752218	0.029639846850740503	0.02929368941434385	Xerath
72	0.5301204819277109	0.161773869266518	0.15450846406267138	Tryndamere
73	0.5325481603213731	0.01577730442119407	0.015540410680779937	Brand
74	0.5333333333333333	0.24566291309842564	0.23859306423245163	Ekko
75	0.533792154163799	0.019206777559762966	0.019191898576637834	AurelionSol
76	0.5340186000978953	0.025743859995106533	0.025360778268206374	Hwei
77	0.5357142857142857	0.16830662318907919	0.16458185937449998	Zed
78	0.5359628770301624	0.032166033617227585	0.03148376722529489	Katarina
79	0.5405355150613611	0.022433354918394155	0.022118029684104368	Velkoz
80	0.5409836065573771	0.18434390892386865	0.18152508370866982	Vex
81	0.5426677713338857	0.02698346447905431	0.027109365321848378	Karthus
82	0.5430746627487645	0.01343340870610521	0.01330632353173744	Veigar
83	0.5486381322957199	0.09937061532730379	0.09296792476502524	Singed
84	0.5490196078431373	0.1896968581505341	0.182650630659571	Fiora
85	0.5555555555555556	0.09837384527810022	0.09462605771202592	Naafiri
86	0.5609756097560976	0.05209880299032854	0.05070699923665445	TahmKench
87	0.5661764705882353	0.09771089081423262	0.09452995354601024	Rengar
88	0.5769230769230769	0.30210621290221373	0.26686551380792756	Sett
89	0.6363636363636364	0.21066841111147233	0.18199488628701554	Kayle
