y	x	lower_error	upper_error	champ
85	0.5071960297766749	0.036328958552438284	0.036151364840574685	Renekton
86	0.5074309978768577	0.0250740091829299	0.0251123960142553	Morgana
87	0.5081752119499394	0.011680755111208974	0.011655271481744944	Naafiri
88	0.509284742652874	0.009251078586959283	0.009237875839056664	Diana
89	0.5099357426735505	0.009992103935740348	0.010034277949091175	AurelionSol
90	0.5103338632750397	0.008907787936866418	0.008921266502018965	Veigar
91	0.5105973025048169	0.01030090419878249	0.010301146975307707	Akshan
92	0.5116788321167883	0.009450974988946537	0.009479176287670033	Anivia
93	0.5128795395911887	0.007319443221108113	0.007327135289694642	Xerath
94	0.5129507364144236	0.026069522069465556	0.025992265560547456	Neeko
95	0.5141488658885708	0.012185582027808617	0.012170653780152474	Talon
96	0.5142201834862385	0.035094711605890005	0.03496990465114658	Nunu
97	0.5142531356898518	0.03158350787468117	0.03184606841910964	Quinn
98	0.5144230769230769	0.10564952989296778	0.10536724484805648	Camille
99	0.5149065184436584	0.014982973470251515	0.015132434208398826	Velkoz
100	0.5153927813163482	0.037427897106785346	0.037526497223965394	Tryndamere
101	0.5156494200871926	0.007451566275269994	0.007452349335615671	TwistedFate
102	0.5162337662337663	0.004433048834952769	0.004457684534136974	Ahri
103	0.5165918300295695	0.012132632341461447	0.012142236673868934	Annie
104	0.5174084639130945	0.010299782210711483	0.01023446337543843	Vex
105	0.5176995969937915	0.017118106288967927	0.01704174785841961	Sion
106	0.5187116564417178	0.020301709723362593	0.020164135959434448	Pantheon
107	0.5209944751381216	0.022213695053582616	0.022231109000098503	Kayle
108	0.5213032581453634	0.05786236547849438	0.05640961295959035	Fiddlesticks
109	0.5223367697594502	0.09053955570890121	0.09236463016646546	Ornn
110	0.5228523570232113	0.02536705065749839	0.025070233336469183	Kennen
111	0.5229007633587787	0.06812728376734922	0.06786260080313034	Kled
112	0.5241935483870968	0.04619999954160736	0.045950316731273366	Sett
113	0.5270461625601812	0.02762219189833026	0.027344426719696502	Garen
114	0.5282592313489073	0.04477345503324248	0.04439075274762494	Zac
115	0.532258064516129	0.15617993406666608	0.15748441228059373	Poppy
116	0.532258064516129	0.11885074628109293	0.1281512128775909	Darius
117	0.5344958301743745	0.04488982036835054	0.044342845335367476	Riven
118	0.5370370370370371	0.16802949824794872	0.16294857383270644	Fiora
119	0.5391042780748663	0.029704210907036455	0.02980003458665581	Zilean
120	0.5393258426966292	0.1679320732199388	0.1596974868867762	Illaoi
121	0.5482123510292525	0.03775339081146045	0.037648181364142386	Singed
122	0.5545023696682464	0.10947514417406445	0.10458116114036053	Jax
123	0.6086956521739131	0.22684853222294288	0.20217171549580149	Elise
124	0.6363636363636364	0.131526130780374	0.1306947000982689	Volibear
